"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","padj.BH"
"ODF3B",10.1576072842426,-4.76140031979634,1.36234715026795,-3.49499781965254,0.000474065627954247,0.00160882903634157,0.00160882903634157
"ANAPC1",6771.53261717259,-0.186619450486751,0.0534052152899215,-3.49440498411341,0.000475119695877006,0.00161214513387282,0.00161214513387282
"LOC101112443",1442.28135400273,0.275709137984015,0.0789395391265625,3.49266211881443,0.000478231203855714,0.00162244019880206,0.00162244019880206
"LMAN1",6719.86331940018,0.190944970885103,0.0546774332209828,3.49220802142239,0.000479045011767863,0.00162493804898144,0.00162493804898144
"DDX51",530.869944136638,-0.437892264319154,0.125396300146745,-3.49206686167544,0.000479298253421732,0.00162553393732089,0.00162553393732089
"LOC101120099",60.5796756264433,1.24261079837969,0.355847396002358,3.49197665161911,0.000479460156336786,0.0016258199087692,0.0016258199087692
"HNRNPLL",6734.38614186806,-0.186795451212731,0.0534971017239375,-3.49169291780807,0.000479969715209291,0.0016264950439725,0.0016264950439725
"SERINC2",1055.00030671385,-0.335034750551862,0.0959493844594635,-3.49178634588747,0.000479801871534661,0.0016264950439725,0.0016264950439725
"LYSMD1",275.496110558952,-0.627957240963718,0.179840200735233,-3.49175122356663,0.00047986496241005,0.0016264950439725,0.0016264950439725
"LOC101116523",68.144148209101,1.16509981228537,0.333673974701771,3.49173115262197,0.00047990101969399,0.0016264950439725,0.0016264950439725
"LOC105602106",35.5305401836553,1.56722825500243,0.448900301421621,3.49126131134058,0.000480745807939389,0.00162886162508938,0.00162886162508938
"TFE3",1340.37738801649,0.280124363312068,0.0802383162422738,3.49115455596368,0.000480937950487306,0.00162924922250436,0.00162924922250436
"GCNT3",1156.4162046999,0.34737476372608,0.0995032059979742,3.49109116879261,0.00048105207111195,0.00162937242641378,0.00162937242641378
"UCHL1",39505.3860210641,-0.171110612568196,0.0490141910998325,-3.4910422620191,0.000481140138863859,0.00162940736102635,0.00162940736102635
"ADORA2A",6.64459613098026,5.33792352970238,1.5291259455972,3.49083314233978,0.000481516875981246,0.00163041972096671,0.00163041972096671
"LOC101111481",865.851274581824,-0.349873125927329,0.100263012825334,-3.48955328658271,0.000483828586498436,0.00163798252967063,0.00163798252967063
"TRNAC-GCA",598.396744519399,0.436486956575648,0.125087747329346,3.48944613597055,0.00048402259369406,0.00163837465247177,0.00163837465247177
"P4HA2",7713.43156080766,0.22242852447518,0.0637470388823205,3.48923696496385,0.000484401528377141,0.00163939251109034,0.00163939251109034
"NABP2",333.574234549189,-0.494348196446297,0.141682046492973,-3.48913788784674,0.000484581113261631,0.00163973547707262,0.00163973547707262
"CYSTM1",344.070253950271,0.69619365241659,0.199563430717191,3.48858330363739,0.000485587486809697,0.00164287558501518,0.00164287558501518
"LOC105605844",363.035827069469,0.513490292077038,0.147218119301528,3.48795579316784,0.000486728546022244,0.00164647028417145,0.00164647028417145
"CD180",16.9673399391188,2.37397370161999,0.680815925681394,3.48695383299678,0.000488555686399057,0.00165238427439939,0.00165238427439939
"SMO",806.143279761382,-0.415399406150548,0.119190927040851,-3.48515962132065,0.000491843541534359,0.00166323596198064,0.00166323596198064
"LOC101108663",150.838830737924,0.874807029099392,0.251053303095033,3.4845469799226,0.000492970911355698,0.00166677935114069,0.00166677935114069
"MINOS1",1186.34678292996,0.32757169770309,0.0940246881766457,3.4838902851523,0.000494182022739953,0.00167060468923027,0.00167060468923027
"FCRL4",31.8089168393948,1.69697519676972,0.487159880836596,3.48340506581846,0.000495078671752877,0.00167336591052472,0.00167336591052472
