##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR21623193_1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	55419239
Total Bases	7.6 Gbp
Sequences flagged as poor quality	0
Sequence length	92-141
%GC	44
>>END_MODULE
1111	5	-0.005106436960339522
1111	6	-0.008205893845179446
1111	7	0.04025430579554268
1111	8	0.010348640278543542
1111	9	-0.02232164625872457
1111	10-14	-0.02926821842217464
1111	15-19	-0.03099565798130044
1111	20-24	-0.004096618207618974
1111	25-29	-0.010391005007598153
1111	30-34	-0.010555258520781763
1111	35-39	-0.0337157655862228
1111	40-44	-0.00944670058007091
1111	45-49	-0.06146416549633926
1111	50-54	-0.020860707274181323
1111	55-59	0.01882992752786805
1111	60-64	-0.002312562443549382
1111	65-69	-0.0029071256815029756
1111	70-74	-0.034948467562394114
1111	75-79	-0.03684824339566717
1111	80-84	-0.020509898437993
1111	85-89	-0.04618036112410806
1111	90-94	-0.05379761278771156
1111	95-99	-0.06945539264648914
1111	100-104	-0.12089950268956784
1111	105-109	-0.06931342457375678
1111	110-114	-0.0609231280468947
1111	115-119	-0.042340580484129475
1111	120-124	-0.030513646247648296
1111	125-129	-0.036547902788200304
1111	130-134	-0.0994607803894283
1111	135-139	-0.08998868387026704
1111	140-141	-0.03843089582105108
1112	1	-0.022570692096344658
1112	2	-0.05836069252936937
1112	3	-0.03708711511185214
1112	4	-0.03813132197434044
1112	5	0.025973404253555543
1112	6	0.042174029604488794
1112	7	-0.03427943770137887
1112	8	-0.05467481939619745
1112	9	-0.007477321324465436
1112	10-14	-0.019088956049465367
1112	15-19	-0.040040954370901716
1112	20-24	-0.027068633390044283
1112	25-29	-0.04505977180465237
1112	30-34	-0.011591411801290974
1112	35-39	-0.046289373850996185
1112	40-44	-0.03448173997927029
1112	45-49	-0.044692895512106645
1112	50-54	-0.052099961147753504
1112	55-59	-0.011463606304104701
1112	60-64	-0.04846007919889672
1112	65-69	-0.03690285290241491
1112	70-74	-0.03677240179698771
1112	75-79	-0.009584176655621945
1112	80-84	-0.0634632271011526
1112	85-89	-0.08146245881788161
1112	90-94	-0.1261186602608788
1112	95-99	-0.07562325414763649
1112	100-104	-0.0940919697321263
1112	105-109	-0.09863137532457955
1112	110-114	-0.09944589551596295
1112	115-119	-0.036323646351760885
1112	120-124	-0.11612062953123825
1112	125-129	-0.043111048561378595
1112	130-134	-0.06340115246997868
1112	135-139	-0.13515709053829994
1112	140-141	-0.08003388010816792
1113	1	0.021586798199152213
1113	2	-0.03421605355465829
1113	3	0.022789476999548697
1113	4	0.021324521415593267
1113	5	0.0073467351222546995
1113	6	0.02420858733420772
1113	7	-0.004578803057391667
1113	8	-0.0455672820085411
1113	9	0.055094879332180824
1113	10-14	0.014176811024746883
1113	15-19	-0.023560279764581082
1113	20-24	-0.011670849802776218
1113	25-29	-0.05718374303882001
1113	30-34	-0.030150338627976225
1113	35-39	-0.054885604717050285
1113	40-44	-0.012410494369397895
1113	45-49	-0.024097192782519983
1113	50-54	-0.019478872658481805
1113	55-59	-0.04443558866434216
1113	60-64	-0.02851155490021995
1113	65-69	-0.04567541093140903
1113	70-74	-0.037276807335373974
1113	75-79	-0.0724714283214496
1113	80-84	-0.04954077513956889
1113	85-89	-0.05935473658245627
1113	90-94	-0.11837418254820165
1113	95-99	-0.049854158721387876
1113	100-104	-0.0798117447962099
1113	105-109	-0.09958561445848346
1113	110-114	-0.032694896791824135
1113	115-119	-0.04599777446150455
1113	120-124	-0.0736988413162436
1113	125-129	-0.13351961002880586
1113	130-134	-0.0925023486598846
1113	135-139	-0.09539747611413674
1113	140-141	-0.0528691042278453
1114	1	0.02996218323761468
1114	2	0.00260758291793195
1114	3	-0.06773201524254802
1114	4	0.06707726435738692
1114	5	0.024142216346589862
1114	6	-0.018117655856343617
1114	7	0.05156132655616119
1114	8	-0.01925076517647284
1114	9	0.0032788402706671604
1114	10-14	-0.0024729931520397486
1114	15-19	-0.01923170648451844
1114	20-24	-0.00838533533192276
1114	25-29	-0.021925159311443565
1114	30-34	0.024756320754825367
1114	35-39	-0.0405872584952931
1114	40-44	-0.0010497285986730276
1114	45-49	-0.007357919857781781
1114	50-54	-0.03142399570589305
1114	55-59	-0.0033200304392764224
1114	60-64	-0.03490887232428008
1114	65-69	0.006934210350074466
1114	70-74	-0.03627202591366796
1114	75-79	-0.06440748836120491
1114	80-84	-0.05247538258962692
1114	85-89	-0.0843321487430444
1114	90-94	-0.048812308774031976
1114	95-99	-0.06401155957933469
1114	100-104	-0.08380107852983087
1114	105-109	-0.07332588251920669
1114	110-114	-0.028216650454439218
1114	115-119	-0.05838872213680446
1114	120-124	-0.08205612582183619
1114	125-129	-0.04617756036994081
1114	130-134	-0.07119942722084005
1114	135-139	-0.08960160461628419
1114	140-141	-0.08847488068271048
1115	1	-0.037212416367445655
1115	2	-0.04232112952754363
1115	3	-0.01687515392849548
1115	4	0.01713046180326927
1115	5	-0.015004909285259771
1115	6	-0.047482050574522816
1115	7	-0.007901017415363754
1115	8	-0.05978404724362463
1115	9	-0.04298948370750111
1115	10-14	-0.014551916360623807
1115	15-19	-0.025380889252211603
1115	20-24	0.010360558354250315
1115	25-29	-0.0440117861880438
1115	30-34	-0.01668156979583557
1115	35-39	-0.036109867867793355
1115	40-44	-0.039952473454057724
1115	45-49	-0.04862364579452105
1115	50-54	-0.03873177441824538
1115	55-59	0.0012937086999542657
1115	60-64	-0.047162524982745424
1115	65-69	-0.04687474280525805
1115	70-74	-0.025460692727961032
1115	75-79	-0.06441799960857963
1115	80-84	-0.04629464317947907
1115	85-89	0.0023054108521805006
1115	90-94	-0.07550333808310228
1115	95-99	-0.08147681580579302
1115	100-104	-0.04472735381705917
1115	105-109	-0.05240425831443929
1115	110-114	-0.05809571823647275
1115	115-119	-0.058871610888878934
1115	120-124	-0.005919902340409067
1115	125-129	-0.07913602769423278
1115	130-134	-0.1227959903383109
1115	135-139	-0.1144762971986708
1115	140-141	-0.05415915381734493
1116	1	0.02048549864117888
1116	2	0.03821745517839048
1116	3	-0.034164842510627125
1116	4	-0.03203328472291389
1116	5	0.03892002428698049
1116	6	0.029339724261262745
1116	7	0.001390058610205358
1116	8	0.0727157659729798
1116	9	0.03798875705481208
1116	10-14	0.006928573520980308
1116	15-19	-0.0033995352800175738
1116	20-24	0.007720046288042681
1116	25-29	-0.030664582636582338
1116	30-34	-0.05090261031344312
1116	35-39	-0.00712241899319821
1116	40-44	-0.010704220629804695
1116	45-49	-0.022191698466322407
1116	50-54	-0.050128577002766406
1116	55-59	-0.03215392351760471
1116	60-64	-0.005169380731032902
1116	65-69	-0.005586462594344255
1116	70-74	-0.027104697061517413
1116	75-79	-0.016321466845937493
1116	80-84	-0.07920944468327917
1116	85-89	-0.011372888723556684
1116	90-94	-0.061449086331435865
1116	95-99	-0.04691638692232658
1116	100-104	-0.10119785830810457
1116	105-109	-0.0702531116565197
1116	110-114	-0.0909122605014403
1116	115-119	-0.0615907498063919
1116	120-124	-0.06277427951276593
1116	125-129	-0.008306740020479708
1116	130-134	-0.03538324371336188
1116	135-139	-0.10399134144536504
1116	140-141	-0.046058530225984384
1117	1	0.006273719832307734
1117	2	-0.004163832625984298
1117	3	-0.02015974145894006
1117	4	0.018319579177649814
1117	5	-0.04388817136889145
1117	6	-0.05923750421193574
1117	7	-0.018904693182612675
1117	8	-0.011113759381338184
1117	9	-0.016965081450813102
1117	10-14	0.002113477989922785
1117	15-19	-0.005489207808281549
1117	20-24	0.006043313841459508
1117	25-29	-0.0447646677541087
1117	30-34	-0.032929134766732204
1117	35-39	-0.013879512275373429
1117	40-44	-0.005705053803119142
1117	45-49	-0.01834864616242271
1117	50-54	-0.02311103974307116
1117	55-59	-0.02463445357277294
1117	60-64	-0.04782576574665143
1117	65-69	-0.028333594262505812
1117	70-74	-0.016864189236599714
1117	75-79	-0.07074187825353562
1117	80-84	-0.033559636428542206
1117	85-89	-0.08373250248194353
1117	90-94	-0.12377294218085666
1117	95-99	-0.08099450398453456
1117	100-104	-0.05500371419843475
1117	105-109	-0.09646307117552766
1117	110-114	-0.11693617138580237
1117	115-119	-0.05652623000604251
1117	120-124	-0.08308229588185867
1117	125-129	-0.08854312409457776
1117	130-134	-0.10774109285333822
1117	135-139	-0.06202346775430101
1117	140-141	-0.08878289798466454
1118	1	-0.025632819733431234
1118	2	-0.0533804417995043
1118	3	0.031854350429306066
1118	4	0.03003602501835445
1118	5	0.04077095772189665
1118	6	-0.06910881429040927
1118	7	0.0439303140786933
1118	8	-0.005998350750644477
1118	9	0.03118210614485406
1118	10-14	0.030710486479499366
1118	15-19	-0.021421950156849334
1118	20-24	-0.023836463876584446
1118	25-29	-0.01071554004465014
1118	30-34	-0.04255308897006671
1118	35-39	0.015321162615805406
1118	40-44	0.023943549654681817
1118	45-49	-0.019407066108811932
1118	50-54	-0.002502370690805833
1118	55-59	-0.047743292957825645
1118	60-64	-0.016213365239664768
1118	65-69	-0.006952232682856163
1118	70-74	-0.018269224740485868
1118	75-79	-0.08203459211685526
1118	80-84	-0.03158941106659796
1118	85-89	-0.005702620510895429
1118	90-94	-0.0054510217095185
